PoiID,Lon,Lat,FirstLevel,SecondLeve,ZoneID
0,118.179184003414,24.4681145272534,4,19,123
1,118.178917232598,24.470120406158696,8,90,123
2,118.17652549646796,24.4686496869564,4,179,123
3,118.176435291991,24.468595487146697,9,67,123
4,118.179147788316,24.470024804976,9,67,123
5,118.178921474146,24.466978883949103,9,67,123
6,118.17648741318,24.46816459445529,9,67,123
7,118.177328544263,24.46746998912049,9,67,123
8,118.179805308551,24.4711091192642,9,67,123
9,118.178279716193,24.4697901575622,9,67,123
10,118.176117695601,24.464325489365105,19,75,66
11,118.175478848194,24.4641901092617,9,92,66
12,118.175944595638,24.4648595540004,2,1,66
13,118.175698087067,24.4635484574386,12,120,66
14,118.17584014198296,24.464343698954305,1,18,66
15,118.175195331759,24.4638997204364,3,24,66
16,118.175365949845,24.4637076932941,4,179,66
17,118.175967934138,24.4634355228936,13,156,66
18,118.175656341177,24.463556109968096,0,145,66
19,118.175434231211,24.463313757969,1,18,66
20,118.173872223171,24.4652070978944,19,173,85
21,118.174842078571,24.466194697297105,13,4,85
22,118.173796051837,24.4649369528296,1,18,85
23,118.174471055286,24.46596577483369,13,154,85
24,118.175140233883,24.46669778246349,6,32,85
25,118.174721106746,24.46592689482189,13,64,85
26,118.174951834481,24.4656122844474,3,24,85
27,118.175120897018,24.466934946115305,19,28,85
28,118.174126750415,24.4671959377706,13,4,85
29,118.173704644576,24.4647414504707,5,155,85
30,118.177542744748,24.466014046917,13,4,79
31,118.178066697103,24.46616933935629,12,23,79
32,118.17792057956,24.4658898946924,17,15,79
33,118.177956363239,24.4662362693551,11,116,79
34,118.177521384464,24.4663153516511,1,7,79
35,118.1756891468,24.46724344823,1,21,79
36,118.175969052227,24.4667631667233,1,18,79
37,118.175970126064,24.4668943004522,8,56,79
38,118.175626640511,24.467339369382,7,157,79
39,118.17761144611,24.464927108651896,6,32,70
40,118.178347009593,24.4661042375862,18,165,70
41,118.176041721903,24.4630338826712,18,165,70
42,118.17760936673,24.465060179590804,4,179,70
43,118.177282629489,24.4646884750777,18,165,70
44,118.17800267755,24.46336206600949,4,179,70
45,118.17775840118,24.46532443501589,12,120,70
46,118.178798257689,24.4658174655364,13,150,70
47,118.179606062305,24.4655672346307,16,162,70
48,118.178308029208,24.466053579019498,4,179,70
49,118.072139711777,24.481112944640305,4,179,656
50,118.075300551135,24.4905536780764,6,62,656
51,118.149379299613,24.4407477372294,19,174,656
52,118.072275579983,24.481814911064703,1,18,656
53,118.137313176745,24.4314288939261,19,108,656
54,118.19104052376998,24.5203386799946,3,149,656
55,118.072321535268,24.4824248939306,12,104,656
56,118.073237774995,24.4731235312471,4,103,656
57,118.072915196076,24.4868218834801,16,50,656
58,118.071826973319,24.4865869636385,3,24,656
59,118.166097178277,24.4563543028322,16,52,40
60,118.174765700761,24.4607131114394,6,32,40
61,118.166576259267,24.4561972807434,1,18,40
62,118.17454816613,24.4609766774021,1,18,40
63,118.17326397271098,24.4616953757718,4,179,40
64,118.173926698155,24.46033443887969,6,32,40
65,118.174417825946,24.4608784845612,4,179,40
66,118.170291474578,24.45687684065389,3,24,40
67,118.174369740923,24.460904345773898,6,13,40
68,118.174374716322,24.46089333642509,19,28,40
69,118.174943050181,24.4617951512972,4,179,58
70,118.174010797991,24.4614718152002,12,127,58
71,118.173535401167,24.464315387086803,18,165,58
72,118.174574504493,24.4614159997429,3,24,58
73,118.174680521717,24.46136603726089,4,179,58
74,118.173498358201,24.4643032748071,18,165,58
75,118.17418706617,24.4639775292638,4,179,58
76,118.173108544597,24.461843094682603,4,179,58
77,118.173970778892,24.461949352131,6,13,58
78,118.173295201949,24.4620944754822,4,179,58
79,118.164013796942,24.46480855289949,16,59,104
80,118.164520023152,24.464841292952,16,59,104
81,118.163941650428,24.463567595966,4,179,104
82,118.169186418036,24.4677065020092,6,32,104
83,118.169166384055,24.467321443099696,6,32,104
84,118.165123454232,24.4656222451744,6,32,104
85,118.164873215324,24.4619092036772,6,13,104
86,118.169371804727,24.4687150134682,1,18,104
87,118.166489558515,24.4678289240736,1,18,104
88,118.163787645793,24.465026081761,16,52,104
89,118.174999211064,24.461868689229004,1,18,50
90,118.1755625526,24.4626749209967,1,18,50
91,118.17504825284,24.4631510479051,6,32,50
92,118.175180627636,24.462992274819,6,13,50
93,118.174947390929,24.4621147262268,6,32,50
94,118.174941928848,24.463549897255305,4,179,50
95,118.175109502977,24.4622480210724,4,179,50
96,118.175691908386,24.4627161250467,4,179,50
97,118.174958966435,24.463468904675302,4,179,50
98,118.175350442622,24.462145116561896,1,18,47
99,118.174828818958,24.4613273157623,1,18,47
100,118.17617623888,24.4622745268682,6,13,47
101,118.176151945544,24.46225849479969,6,13,47
102,118.175690902628,24.4622691290904,6,32,47
103,118.17494215511,24.461271504637104,4,179,47
104,118.175660793828,24.462466081542896,4,179,47
105,118.177549729414,24.4714790961298,9,67,127
106,118.17656951388,24.4696809736052,9,67,127
107,118.176044250641,24.4695949566404,9,67,127
108,118.175262397671,24.4697747216878,4,37,127
109,118.176183174463,24.472296747091605,1,7,127
110,118.17574848872296,24.4694544117654,9,67,127
111,118.175424684527,24.4696537936635,4,19,127
112,118.174911528129,24.4683145944502,4,19,127
113,118.175712462919,24.468684166812,9,67,127
114,118.175769656183,24.4685722908583,9,67,127
115,118.18353995506,24.4871217964378,13,64,266
116,118.18502726024596,24.4838668905028,5,159,266
117,118.183121808667,24.484970393801603,19,75,266
118,118.186108742716,24.484829101033306,16,59,266
119,118.184990639401,24.4857665431296,5,159,266
120,118.18299391748998,24.486057097572697,4,37,266
121,118.185037714852,24.48495242676089,13,64,266
122,118.186999596297,24.4859030013348,16,52,266
123,118.184880883492,24.4857258802813,13,57,266
124,118.183480530144,24.487332356871296,13,64,266
125,118.184061263952,24.474971316181897,4,19,153
126,118.185054249425,24.4744119735436,13,4,153
127,118.18495245340796,24.4744388204203,13,4,153
128,118.185290315073,24.4753341977022,13,57,153
129,118.185257388659,24.4751554636586,13,150,153
130,118.184951778648,24.4751928172716,16,52,153
131,118.184900279995,24.474463725958906,17,20,153
132,118.183036825377,24.4716331978296,4,19,153
133,118.183783983843,24.4750373265279,4,19,153
134,118.185026234543,24.474726332337305,19,98,153
135,118.172177555682,24.4741234003762,12,170,145
136,118.171829012597,24.472878025501,13,4,145
137,118.174726228192,24.4738306021673,0,145,145
138,118.174064079465,24.472708664145603,19,174,145
139,118.171646142109,24.4730024591808,13,4,145
140,118.171698986021,24.4736786052746,0,146,145
141,118.174275183377,24.47306429293049,12,23,145
142,118.172551820208,24.4741081382766,12,128,145
143,118.171976599091,24.4728817467232,19,174,145
144,118.172619605343,24.4730952779934,13,64,145
145,118.176022544372,24.4770443717314,7,157,218
146,118.171850761895,24.4755343019364,16,52,218
147,118.172425552542,24.47897013529669,16,52,218
148,118.179714245154,24.4823927097528,6,32,218
149,118.174650988841,24.47749018032169,8,71,218
150,118.176445707193,24.4797423501146,0,145,218
151,118.17383624248998,24.4781268519223,16,52,218
152,118.175750361347,24.4794641383084,11,115,218
153,118.177748108881,24.478253646290103,7,157,218
154,118.1748374126,24.4745085163832,16,160,218
155,118.172633786493,24.484583718223096,4,179,253
156,118.171935946793,24.4854484398093,3,24,253
157,118.172095426944,24.48523463275,16,163,253
158,118.170372170086,24.4838292508573,4,179,253
159,118.170904396551,24.4856264731226,6,32,253
160,118.170620740226,24.4856479680052,6,32,253
161,118.170225768183,24.4857081657027,4,19,253
162,118.171569328002,24.4856470559947,6,13,253
163,118.170637796678,24.4836033287711,19,174,253
164,118.170881281631,24.4861050224075,9,91,253
165,118.170114751593,24.470062043770003,13,156,119
166,118.170233774118,24.470085552017306,13,4,119
167,118.169413729154,24.471498558226106,13,64,119
168,118.169224269711,24.471687099419604,2,119,119
169,118.169314518671,24.4718418564172,0,145,119
170,118.170440598419,24.4713691591075,12,170,119
171,118.169433231894,24.470532664956604,10,99,119
172,118.169098681367,24.470636730043896,16,52,119
173,118.168973501528,24.470917726704897,13,64,119
174,118.170367138117,24.470040181896,13,4,119
175,118.169614401485,24.477454580244896,4,19,225
176,118.171151594069,24.478595252723306,13,156,225
177,118.167253782129,24.4790664495674,6,32,225
178,118.171792253914,24.47957178633269,8,71,225
179,118.17124270182,24.4783420968452,18,165,225
180,118.172327418049,24.479791430150105,1,7,225
181,118.171957504401,24.47953840315329,3,24,225
182,118.17036057692,24.477877384479104,4,179,225
183,118.170212809861,24.4774344801796,19,98,225
184,118.171291365871,24.4785596041368,17,15,225
185,118.171976927916,24.469885125422103,19,174,111
186,118.170885994912,24.4702070976196,8,65,111
187,118.17200075319596,24.469924799240605,16,52,111
188,118.171639406814,24.4697248416146,3,24,111
189,118.172100637811,24.4693869346294,11,118,111
190,118.172001333861,24.4696742642933,19,75,111
191,118.171386383026,24.4696712283569,13,4,111
192,118.170986140459,24.470310762283603,8,71,111
193,118.170698973965,24.4701177988584,12,131,111
194,118.17082193373696,24.4698741292477,2,119,111
195,118.169666440038,24.4745119992358,10,99,162
196,118.170985622283,24.474463972083505,0,145,162
197,118.171154773782,24.4748704144017,16,52,162
198,118.170782974459,24.476751300103896,19,28,162
199,118.171580010652,24.4751520974262,2,119,162
200,118.170231481533,24.4748606753243,7,135,162
201,118.16998589168,24.4749501797114,4,19,162
202,118.169456391789,24.47466780338389,12,30,162
203,118.16986263853998,24.474553248186,7,157,162
204,118.17004595792,24.475611369214395,12,131,162
205,118.166214782874,24.470840212962305,8,56,132
206,118.170253200391,24.47282714261529,7,29,132
207,118.170626744279,24.4721982534242,0,145,132
208,118.167423978736,24.47074200144589,2,119,132
209,118.168345105702,24.470374935607,4,19,132
210,118.167618712431,24.470826695772896,20,177,132
211,118.170443785068,24.4724979580258,0,145,132
212,118.167907813186,24.470720333553,0,145,132
213,118.170146433407,24.472938192257104,20,0,132
214,118.167532100539,24.470232683460303,4,19,132
215,118.176561488261,24.4843141598526,4,179,238
216,118.175835607315,24.4821496132165,13,64,238
217,118.176007234339,24.484154652571,12,127,238
218,118.176148218818,24.4830390713182,7,66,238
219,118.17445417237,24.48291174440629,13,64,238
220,118.17595532465,24.48205909550489,13,64,238
221,118.174980806248,24.4809053901608,16,52,238
222,118.173957708996,24.481854646599498,16,59,238
223,118.177115222786,24.4818639375991,16,61,238
224,118.17437918594996,24.4824063537699,8,9,238
225,118.187440933034,24.479550782789897,16,52,217
226,118.186830643253,24.47661130333089,12,131,217
227,118.18630998591298,24.476149803986,13,156,217
228,118.186511611444,24.4772327087872,16,52,217
229,118.186080058747,24.4757210432686,4,179,217
230,118.188179620749,24.479714060516898,3,25,217
231,118.187252543554,24.4777932057264,3,24,217
232,118.186606938131,24.4773257373046,16,161,217
233,118.185800257867,24.4761425197352,4,19,217
234,118.179155510339,24.475600907371305,1,18,217
235,118.16265554471,24.484603777172605,8,71,263
236,118.165276629856,24.4861716295536,13,150,263
237,118.165256487036,24.4844136784522,16,59,263
238,118.161423341709,24.484529767442,11,117,263
239,118.167786721653,24.4842385912536,11,114,263
240,118.164155638047,24.4844408623562,11,117,263
241,118.163669239167,24.484562343460897,0,146,263
242,118.162195914051,24.4848963954512,6,32,263
243,118.165512410289,24.485493646228,16,59,263
244,118.163409552894,24.486609338506604,5,159,263
245,118.172234513002,24.4721536110763,12,141,126
246,118.17303974352896,24.4708974904289,19,174,126
247,118.171872284474,24.472048032455103,8,56,126
248,118.172994068801,24.470838734017896,12,60,126
249,118.172423738299,24.4718915640099,0,145,126
250,118.172831678136,24.470528752883,0,145,126
251,118.172657722625,24.4718889033116,10,94,126
252,118.172071230316,24.471929857918,3,24,126
253,118.172107413174,24.471896413899696,12,74,126
254,118.173165589382,24.471041701992803,19,174,126
255,118.174891907868,24.470629971991603,5,42,116
256,118.17311996585896,24.4703265030315,4,19,116
257,118.173124011021,24.469736676497103,17,15,116
258,118.174729256237,24.470640522937103,12,55,116
259,118.173330077371,24.4689755097335,8,56,116
260,118.174585304571,24.469943724935497,13,154,116
261,118.174810505003,24.4703188658006,16,52,116
262,118.173211251503,24.469175524380496,4,19,116
263,118.17478907953,24.470229717413503,13,64,116
264,118.172883487431,24.469052850250502,10,96,116
265,118.166206631878,24.472882474993096,8,71,136
266,118.167298904645,24.4715869642676,8,56,136
267,118.165472646914,24.473084540980896,6,13,136
268,118.167358946786,24.4714714468858,8,54,136
269,118.16793122272,24.472663091870004,5,155,136
270,118.167820167484,24.47242787922169,13,156,136
271,118.167637273638,24.4720649287662,13,156,136
272,118.167714238813,24.4721227806427,0,146,136
273,118.167595125271,24.4718002215898,13,64,136
274,118.167458811429,24.471694754561,5,155,136
275,118.168461081956,24.47437110374189,16,52,157
276,118.166625446268,24.47613635331,0,146,157
277,118.16861822042496,24.474341497091896,13,133,157
278,118.168951744177,24.475180998547103,2,119,157
279,118.168773229189,24.4751658074325,7,85,157
280,118.166257398169,24.476248076506906,16,59,157
281,118.169058252985,24.4750688602394,13,156,157
282,118.16899517621,24.474872567778696,13,49,157
283,118.167804910877,24.47568039679369,13,64,157
284,118.168642462511,24.47530761359,1,18,157
285,118.185812124458,24.48386111501,12,30,229
286,118.185514520997,24.4837810385026,16,16,229
287,118.184280654918,24.483025707396106,7,86,229
288,118.185460713139,24.4834064859074,6,32,229
289,118.186521481481,24.483678851354497,6,32,229
290,118.186722913589,24.4837322393055,6,32,229
291,118.186711319728,24.4834476292762,6,32,229
292,118.186295458128,24.48383561688789,3,24,229
293,118.184955000562,24.4836953067362,16,163,229
294,118.186435275715,24.4836597620749,6,32,229
295,118.185106757688,24.4826181321082,1,18,222
296,118.187564855993,24.4806930505538,4,179,222
297,118.188660634211,24.4805350034874,4,179,222
298,118.184747385059,24.4824706463298,1,18,222
299,118.187980521812,24.4824487692398,17,15,222
300,118.184498703468,24.482979282146,3,24,222
301,118.189058572197,24.4806116795748,4,179,222
302,118.184605008642,24.482223348710296,12,131,222
303,118.186962596614,24.48179132048769,1,18,222
304,118.18671136188,24.481844826539604,3,24,222
305,118.180106275892,24.4828445481918,6,32,228
306,118.178575190557,24.483213187205703,6,13,228
307,118.18002297595696,24.482640305571604,8,56,228
308,118.177941912216,24.483587577929395,4,179,228
309,118.178465181908,24.4836285370537,1,18,228
310,118.178772119994,24.4834199914165,19,108,228
311,118.178239582803,24.483449091933604,12,78,228
312,118.178188240795,24.48332099940629,16,52,228
313,118.178474330023,24.481957237160696,6,32,228
314,118.179309360682,24.483100655287103,4,179,228
315,118.167320293887,24.4742438508597,4,19,143
316,118.168361938733,24.4739868847396,1,18,143
317,118.168352914911,24.4738798231682,4,19,143
318,118.167760373498,24.474045721582304,13,64,143
319,118.168359914729,24.4737488220545,1,18,143
320,118.167691533724,24.474092315344105,12,30,143
321,118.167407504202,24.4739059928314,1,18,143
322,118.167093409436,24.4744053548098,1,8,143
323,118.168061234718,24.4736644957482,20,0,143
324,118.167623696922,24.473948400681305,13,57,143
325,118.18382478958796,24.473672693657,12,23,141
326,118.184595637397,24.47450634027989,1,83,141
327,118.182714718814,24.4722871383324,1,18,141
328,118.183032877792,24.4739443548841,4,19,141
329,118.182332271462,24.471919858435506,4,19,141
330,118.182514528119,24.473585038271,4,19,141
331,118.18316735041,24.4721853240144,4,179,141
332,118.167283004971,24.4760613089544,3,24,181
333,118.168551764752,24.4775886766486,4,179,181
334,118.168469478764,24.4762376294027,8,56,181
335,118.167409368588,24.4766824024826,6,32,181
336,118.169470644166,24.4760214685458,8,71,181
337,118.166433644011,24.4772307235543,5,44,181
338,118.166453356357,24.47645160303,2,119,181
339,118.166113940952,24.4768441040052,1,7,181
340,118.168532611712,24.476376362756696,12,128,181
341,118.167004404713,24.476828909340803,12,127,181
342,118.17708148065,24.473801751038,18,165,135
343,118.177710046117,24.47273356481569,9,67,135
344,118.179889496663,24.4715653681304,9,67,135
345,118.178367550533,24.4731485918247,8,56,135
346,118.179610691531,24.4723809901826,9,67,135
347,118.177310487643,24.47396827619,18,165,135
348,118.177735109447,24.472782573663896,9,67,135
349,118.180616191329,24.4719387721167,6,32,135
350,118.179271915533,24.471855250521003,9,67,135
351,118.180255323875,24.4716220524354,6,32,135
352,118.177684005969,24.486606575823604,13,64,257
353,118.17866966033,24.486282000223696,13,64,257
354,118.181939434231,24.485103107513496,2,143,257
355,118.181019320664,24.4838793287462,3,24,257
356,118.181128509302,24.485335674365803,3,24,257
357,118.181479230058,24.4834433845249,3,24,257
358,118.17757502211398,24.4846508378436,12,30,257
359,118.17820602453,24.4839893611934,1,7,257
360,118.18205182943998,24.4844299484417,4,19,257
361,118.180828122857,24.4837748501626,3,24,257
362,118.171917934577,24.4908887921275,3,113,308
363,118.171137619919,24.490843641451203,17,20,308
364,118.172270960114,24.4881631804826,13,4,308
365,118.172170478251,24.486872147512603,3,24,308
366,118.172198773366,24.4869500537,13,64,308
367,118.170106920713,24.4883969845331,6,33,308
368,118.169461092795,24.4882926637462,1,7,308
369,118.171945532089,24.488225727730697,9,92,308
370,118.170807024963,24.4874135700225,4,179,308
371,118.172572395968,24.4878770293774,4,179,308
372,118.18248657388,24.4878394943816,4,179,276
373,118.182199000785,24.4859756800642,3,24,276
374,118.182181827438,24.488026937207103,4,19,276
375,118.179749954902,24.488455604127804,4,179,276
376,118.182447228478,24.48647601907849,6,33,276
377,118.178723158386,24.487603357968,1,8,276
378,118.180700262946,24.487632244977306,1,18,276
379,118.182235102889,24.48673489811189,1,18,276
380,118.177613775397,24.48800758059589,3,26,276
381,118.182502677682,24.48763349950349,20,177,276
382,118.169438888766,24.4948764439958,6,13,402
383,118.152807969309,24.491698196178305,12,120,402
384,118.163216063468,24.491868185883003,3,24,402
385,118.165878714161,24.489573115897,6,80,402
386,118.167886459544,24.4985246937219,8,90,402
387,118.166077219097,24.495613079938305,3,24,402
388,118.164240204984,24.4933770270242,12,78,402
389,118.166177429633,24.4893708056416,9,92,402
390,118.16472287341298,24.5037408821984,6,32,402
391,118.16508910376696,24.492220120757104,6,13,402
392,118.176059596952,24.494144537716103,2,125,346
393,118.18115407461,24.492202709219605,3,87,346
394,118.179409911064,24.4921725208384,4,19,346
395,118.178699392398,24.4924148337202,7,22,346
396,118.171397965007,24.4961258900323,1,18,346
397,118.176740253619,24.4939168362469,3,24,346
398,118.179892325332,24.49159428981409,12,130,346
399,118.182330595829,24.4887042336902,7,157,346
400,118.178137711219,24.492978304941897,20,81,346
401,118.172761397949,24.49541845242309,3,24,346
402,118.174752733987,24.4899846064032,9,92,293
403,118.173537551505,24.489007361844603,9,92,293
404,118.17433564317696,24.4887535491168,6,33,293
405,118.175988757881,24.4884826552844,3,24,293
406,118.174380268081,24.4883350611202,6,33,293
407,118.17323687272,24.490794745194,8,56,293
408,118.17618686643,24.4875561359455,2,125,293
409,118.173222802289,24.490498615313896,7,29,293
410,118.172614836601,24.4886834584732,13,4,293
411,118.176361755844,24.4875682255532,8,140,293
412,118.169544869856,24.5070138507612,9,93,442
413,118.171526752542,24.50483929279089,6,32,442
414,118.16832886905,24.5031347145986,6,13,442
415,118.169834589008,24.505858371127896,0,145,442
416,118.168291581954,24.5061791732954,4,179,442
417,118.168022096229,24.503553280647697,12,128,442
418,118.170060037722,24.5060450638878,16,163,442
419,118.169843459146,24.5060441700947,17,20,442
420,118.168843057076,24.5060578317863,11,117,442
421,118.1685535753,24.5012349954123,6,32,442
422,118.190152072217,24.496569820757,1,18,355
423,118.190812408386,24.486941377196697,3,24,355
424,118.18949763207,24.4953745993724,20,81,355
425,118.190443541324,24.488574830567604,20,81,355
426,118.189666881133,24.4926407288688,8,54,355
427,118.191901401648,24.4911388929852,3,24,355
428,118.190106576282,24.487788852898102,3,24,355
429,118.190484189269,24.4907765451203,3,24,355
430,118.190323789288,24.491669425611896,1,18,355
431,118.183617120789,24.490234835608696,3,24,355
432,118.18798394658998,24.499205851411496,17,15,376
433,118.186351132412,24.499275854580105,6,32,376
434,118.18628790766,24.4990221856212,6,32,376
435,118.187371707003,24.499274114954705,19,174,376
436,118.187203102274,24.4997333633188,1,18,376
437,118.184126398707,24.49748070857129,6,13,376
438,118.185974171177,24.499292200805897,6,32,376
439,118.187078194075,24.4992331611984,16,59,376
440,118.187015439959,24.499463454993,11,118,376
441,118.18519438571,24.4992958504323,6,32,376
442,118.172114949215,24.50833990011889,12,131,483
443,118.171914519918,24.5076603781357,16,40,483
444,118.172901341691,24.502129560731696,10,63,483
445,118.174293757882,24.5057320491762,3,24,483
446,118.181864664575,24.510709815416003,6,80,483
447,118.18139733473,24.5105747034132,17,20,483
448,118.171999493026,24.507614513803105,16,52,483
449,118.177983497252,24.5109921885016,9,92,483
450,118.17234891443898,24.5084257494434,13,57,483
451,118.179270907651,24.50273273431789,6,32,483
452,118.166855373855,24.5255834617976,1,7,586
453,118.168037062445,24.525008177490395,13,154,586
454,118.165855986206,24.5217314495241,1,18,586
455,118.167846487646,24.5235891347268,16,52,586
456,118.168570341865,24.524859729443303,12,127,586
457,118.168647026845,24.52523704064449,6,32,586
458,118.168253883686,24.524749797446106,13,4,586
459,118.168485599608,24.5254437841157,6,32,586
460,118.167845930391,24.528213144351803,4,37,586
461,118.167687525755,24.524588156728296,9,92,586
462,118.186282256867,24.5016401889863,3,24,424
463,118.184842266945,24.501555239692603,11,117,424
464,118.187661663587,24.5053720593521,7,86,424
465,118.184704328795,24.5013869075584,0,146,424
466,118.185112829083,24.5061295927863,1,7,424
467,118.184314010365,24.50067071498849,12,78,424
468,118.187328149514,24.5042952636277,6,32,424
469,118.185452893439,24.5008064447503,19,174,424
470,118.184382369119,24.5011417453458,12,127,424
471,118.18550302751,24.50098166207089,19,108,424
472,118.182169551684,24.51273810041649,11,116,488
473,118.189278887295,24.508545000976888,1,7,488
474,118.1884523747,24.510562017968503,4,179,488
475,118.188061187581,24.508753006223102,1,7,488
476,118.185729023977,24.5108483631209,4,179,488
477,118.182489356793,24.514747907207,3,24,488
478,118.187994526207,24.5118742762946,1,7,488
479,118.181086565583,24.51540350489769,1,7,488
480,118.186545895974,24.5090384122302,1,7,488
481,118.180837373369,24.5153320324475,5,43,488
482,118.17680825803998,24.5135665246417,6,32,484
483,118.177116034872,24.513452136943897,10,94,484
484,118.17640526283996,24.51313674396029,6,32,484
485,118.173663624295,24.5110172198059,6,32,484
486,118.172095251007,24.511144308460302,7,29,484
487,118.177044215944,24.5136349992273,3,24,484
488,118.17611371447,24.5134502056076,2,119,484
489,118.171777953899,24.510946409057603,1,18,484
490,118.172303223668,24.51107765671709,3,24,484
491,118.174342256531,24.5110856136278,5,159,484
492,118.169926888884,24.5117209033315,7,85,565
493,118.17226866327,24.5139008102608,10,94,565
494,118.167827676729,24.5173617308782,12,23,565
495,118.177068679188,24.516921532670803,4,37,565
496,118.174843881658,24.5225390215092,1,18,565
497,118.17009534276,24.51767620179,17,15,565
498,118.176269493061,24.51848285635449,18,165,565
499,118.176666158603,24.5164764774242,12,23,565
500,118.172796285442,24.5137549205428,6,32,565
501,118.173556649543,24.51236052876009,0,145,565
502,118.184258678021,24.518011998134497,13,64,516
503,118.188998619139,24.5119631016396,11,118,516
504,118.18932685275496,24.5138540842198,16,16,516
505,118.188109960925,24.516448999863705,3,24,516
